Jahr,Bleifrei(95),Bleifrei(98),Diesel,KWH
2010,1.64,1.69,1.72,0.24
2011,1.73,1.78,1.86,0.2416
2012,1.81,1.86,1.93,0.2318
2013,1.77,1.83,1.89,0.2295
2014,1.72,1.78,1.82,0.2312
2015,1.49,1.56,1.55,0.237
2016,1.41,1.48,1.45,0.2379
2017,1.51,1.59,1.58,0.2378
2018,1.63,1.72,1.74,0.243
2019,1.6,1.69,1.74,0.2443
2020,1.43,1.53,1.54,0.2438
2021,1.735,1.8,1.62,0.2500
2022,1.52,1.61,1.55,0.2459
2023,1.50,1.60,1.52,0.2470
2024,1.49,1.59,1.50,0.2481
2025,1.47,1.58,1.47,0.2491
2026,1.46,1.57,1.45,0.2502
2027,1.44,1.55,1.43,0.2513
2028,1.42,1.54,1.40,0.2523
2029,1.41,1.53,1.38,0.2534
2030,1.39,1.52,1.35,0.2545
